id,img_name,Scientific_name,Sex,Tag,Info1,Info2,Info3,Info4
MGCL 1163603,MGCL 1163603_8132.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163603,R. BRUSH 3/27/61 ORACABeSSA JAMAICA BWI,Brush Colln. Allyn Museum Acc. 1983-15,,
MGCL 1163604,MGCL 1163604_8134.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163604,"WEST INDIES JAMAICA AUG., 1986",R. Rahn colln. Allyn Museum Acc. 1993-26,,
MGCL 1163605,MGCL 1163605_0381.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163605,"WEST INDIES JAMAICA AUG., 1986",R. Rahn colln. Allyn Museum Acc. 1993-26,,
MGCL 1163606,MGCL 1163606_8137.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163606,"JAMAICA, W. I. 1962 St. Thomas 25 August Lyssons Beach P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163607,MGCL 1163607_8139.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163607,"JAMAICA, West Indies Blue Mountains St Andrews Belle view 7. July 1962 P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163608,MGCL 1163608_8141.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163608,"JAMAICA, West Indies St. Thomas 1 July 1965 Coact Road P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163609,MGCL 1163609_8143.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163609,"JAMAICA, W. I. St. Andrews Mona May 29 1962 P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163610,MGCL 1163610_8145.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163610,"JAMAICA, W. I. St. Andrew 23 May Mavis Bank 1963 P. F. MILNER, Coll.",P. Milner coll. MGCL Accession # 2010-5,,
MGCL 1163611,MGCL 1163611_8147.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163611,"JAMAICA, W. I. 1962 St. Andrew August Mona Kingston P. F. MILNER, Coll.",Phoebis sennae sennae Linnnaeus,P. Milner coll. MGCL Accession #2010-5,
MGCL 1163612,MGCL 1163612_8149.JPG,Phoebis sennae sennae,♀,UF FLMNH MGCL 1163612,"JAMAICA, W. I. St. Andrew Feb 25 Mona 1962 P. F. MILNER, Coll.",P. Milner coll. MGCL Accession #2010-5,,
